,地区,确诊,疑似,治愈,死亡
0,上海,335,0,261,3
1,广西壮族自治区,251,0,112,2
2,广东,1345,0,774,6
3,内蒙古自治区,75,0,31,0
4,安徽,989,0,659,6
5,江苏,631,0,445,0
6,宁夏回族自治区,71,0,58,0
7,吉林,93,0,55,1
8,辽宁,121,0,80,1
9,山东,755,0,332,4
10,四川,527,0,265,3
11,湖南,1016,0,725,4
12,云南,174,0,124,2
13,湖北,64287,0,16738,2495
14,台湾,28,0,5,1
15,香港,74,0,12,2
16,浙江,1205,0,765,1
17,江西,934,0,645,1
18,陕西,245,0,162,1
19,北京,399,0,198,4
20,河南,1271,0,930,19
21,福建,293,0,174,1
22,河北,311,0,221,6
23,黑龙江,480,0,224,12
24,海南,168,0,106,5
25,重庆,575,0,335,6
26,山西,132,0,88,0
27,新疆维吾尔自治区,76,0,28,2
28,甘肃,91,0,78,2
29,天津,135,0,81,3
30,贵州,146,0,102,2
31,西藏自治区,1,0,1,0
32,青海,18,0,18,0
33,澳门,10,0,6,0
